kId,text,idf
164,apartmentsmiami,0.5596157879354227
165,apartmentsminneapolis,0.5596157879354227
166,apartmentsnashville,0.5596157879354227
167,apartmentsnew,0.0
168,orleans,0.5596157879354227
169,york,0.5596157879354227
170,apartmentsoklahoma,0.5596157879354227
171,apartmentsorlando,0.5596157879354227
172,apartmentsphiladelphia,0.5596157879354227
173,apartmentsphoenix,0.5596157879354227
174,apartmentspittsburgh,0.5596157879354227
175,apartmentsplano,0.5596157879354227
176,apartmentsportland,0.5596157879354227
177,apartmentsraleigh,0.5596157879354227
178,apartmentsrichmond,0.5596157879354227
179,apartmentssacramento,0.5596157879354227
180,apartmentssan,-0.6190392084062235
181,antonio,0.5596157879354227
182,diego,0.5596157879354227
183,francisco,0.5596157879354227
184,jose,0.5596157879354227
